542100,2019,french+ligue+1,167,0000bf,Lyon,2502,C60000,Nice
542101,2019,french+ligue+1,7868,1a1a1a,Angers,7730,ef2f24,Nimes
542102,2019,french+ligue+1,3170,ef2f24,Dijon FCO,169,0000bf,Stade Rennes
542103,2019,french+ligue+1,177,8C3140,Metz,3243,ef2f24,Stade de Reims
542104,2019,french+ligue+1,3335,1a1a1a,SC Amiens,180,0000bf,Strasbourg
542105,2019,french+ligue+1,3243,ef2f24,Stade de Reims,7868,1a1a1a,Angers
542106,2019,french+ligue+1,2502,C60000,Nice,159,00003e,Bordeaux
542107,2019,french+ligue+1,174,E91514,AS Monaco,3170,ffffff,Dijon FCO
542108,2019,french+ligue+1,176,94cbf6,Marseille,167,0000bf,Lyon
542109,2019,french+ligue+1,166,ef2f24,Lille,177,8C3140,Metz
542110,2019,french+ligue+1,180,0000bf,Strasbourg,7730,ef2f24,Nimes
542111,2019,french+ligue+1,6997,ef2f24,Brest,160,00003e,Paris Saint-Germain 
542112,2019,french+ligue+1,169,ef2f24,Stade Rennes,3335,1a1a1a,SC Amiens
542113,2019,french+ligue+1,165,ffff00,Nantes,178,000099,Saint-Etienne
542114,2019,french+ligue+1,274,011F68,Montpellier,179,6000bf,Toulouse
542115,2019,french+ligue+1,178,C8142F,Saint-Etienne,174,1a1a1a,AS Monaco
542116,2019,french+ligue+1,3335,1a1a1a,SC Amiens,6997,ef2f24,Brest
542117,2019,french+ligue+1,176,94cbf6,Marseille,166,ef2f24,Lille
542118,2019,french+ligue+1,179,6000bf,Toulouse,167,0000bf,Lyon
542119,2019,french+ligue+1,177,8C3140,Metz,274,011F68,Montpellier
542120,2019,french+ligue+1,159,00003e,Bordeaux,165,ffff00,Nantes
542121,2019,french+ligue+1,3170,ef2f24,Dijon FCO,160,00003e,Paris Saint-Germain 
542122,2019,french+ligue+1,7730,ef2f24,Nimes,169,0000bf,Stade Rennes
542123,2019,french+ligue+1,2502,C60000,Nice,3243,2a2afe,Stade de Reims
542124,2019,french+ligue+1,7868,1a1a1a,Angers,180,0000bf,Strasbourg
542125,2019,french+ligue+1,165,ffff00,Nantes,174,E91514,AS Monaco
542126,2019,french+ligue+1,274,011F68,Montpellier,7868,1a1a1a,Angers
542127,2019,french+ligue+1,166,ef2f24,Lille,159,00003e,Bordeaux
542128,2019,french+ligue+1,6997,ef2f24,Brest,3170,000099,Dijon FCO
542129,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,176,94cbf6,Marseille
542130,2019,french+ligue+1,167,0000bf,Lyon,177,8C3140,Metz
542131,2019,french+ligue+1,180,0000bf,Strasbourg,2502,C60000,Nice
542132,2019,french+ligue+1,3243,ef2f24,Stade de Reims,7730,000099,Nimes
542133,2019,french+ligue+1,178,C8142F,Saint-Etienne,3335,1a1a1a,SC Amiens
542134,2019,french+ligue+1,169,ef2f24,Stade Rennes,179,6000bf,Toulouse
542135,2019,french+ligue+1,7868,1a1a1a,Angers,6997,ef2f24,Brest
542136,2019,french+ligue+1,167,0000bf,Lyon,3170,ef2f24,Dijon FCO
542137,2019,french+ligue+1,179,6000bf,Toulouse,166,ef2f24,Lille
542138,2019,french+ligue+1,3243,ef2f24,Stade de Reims,274,011F68,Montpellier
542139,2019,french+ligue+1,177,8C3140,Metz,165,ffff00,Nantes
542140,2019,french+ligue+1,2502,C60000,Nice,160,00003e,Paris Saint-Germain 
542141,2019,french+ligue+1,7730,ef2f24,Nimes,3335,1a1a1a,SC Amiens
542142,2019,french+ligue+1,159,00003e,Bordeaux,178,000099,Saint-Etienne
542143,2019,french+ligue+1,174,E91514,AS Monaco,169,0000bf,Stade Rennes
542144,2019,french+ligue+1,176,94cbf6,Marseille,180,0000bf,Strasbourg
542145,2019,french+ligue+1,274,011F68,Montpellier,174,E91514,AS Monaco
542146,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,7868,787878,Angers
542147,2019,french+ligue+1,179,6000bf,Toulouse,159,00003e,Bordeaux
542148,2019,french+ligue+1,178,C8142F,Saint-Etienne,167,0000bf,Lyon
542149,2019,french+ligue+1,3335,1a1a1a,SC Amiens,176,94cbf6,Marseille
542150,2019,french+ligue+1,6997,ef2f24,Brest,177,8C3140,Metz
542151,2019,french+ligue+1,165,ffff00,Nantes,2502,C60000,Nice
542152,2019,french+ligue+1,166,ef2f24,Lille,7730,000099,Nimes
542153,2019,french+ligue+1,169,ef2f24,Stade Rennes,3243,2a2afe,Stade de Reims
542154,2019,french+ligue+1,3170,ef2f24,Dijon FCO,180,0000bf,Strasbourg
542155,2019,french+ligue+1,174,E91514,AS Monaco,6997,1a1a1a,Brest
542156,2019,french+ligue+1,3243,ef2f24,Stade de Reims,3170,000099,Dijon FCO
542157,2019,french+ligue+1,2502,C60000,Nice,166,ffe566,Lille
542158,2019,french+ligue+1,180,0000bf,Strasbourg,274,011F68,Montpellier
