BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
  60 | Levante                    | Spanish Primera División          | 1.759 | 1.714 | 0.974 | 1.373
  61 | Werder Bremen              | German Bundesliga                 | 1.758 | 1.655 | 0.942 | 1.265
  62 | Sky Blue FC                | United States NWSL Women's League | 1.753 | 1.505 | 0.858 | 1.504
  63 | Real Valladolid            | Spanish Primera División          | 1.741 | 1.240 | 0.712 | 1.371
  64 | AS Roma                    | Italian Serie A                   | 1.726 | 1.729 | 1.002 | 1.222
  65 | Lazio                      | Italian Serie A                   | 1.713 | 1.425 | 0.832 | 1.214
  66 | Club Brugge                | Belgian First Division A          | 1.695 | 1.531 | 0.903 | 1.104
  67 | Rayo Vallecano             | Spanish Primera División          | 1.671 | 1.544 | 0.924 | 1.369
  68 | Torino                     | Italian Serie A                   | 1.659 | 1.338 | 0.807 | 1.192
  69 | Schalke 04                 | German Bundesliga                 | 1.659 | 1.406 | 0.848 | 1.259
  70 | Home United                | Singaporean Premier League        | 1.619 | 1.544 | 0.954 | 1.192
  71 | Stade Rennes               | French Ligue 1                    | 1.618 | 1.447 | 0.894 | 1.168
  72 | Grêmio                     | Brazilian Serie A                 | 1.599 | 1.207 | 0.755 | 1.010
  73 | AFC Bournemouth            | English Premier League            | 1.582 | 1.593 | 1.007 | 1.270
  74 | Montpellier                | French Ligue 1                    | 1.578 | 1.248 | 0.791 | 1.155
  75 | FC Augsburg                | German Bundesliga                 | 1.576 | 1.494 | 0.948 | 1.262
  76 | West Ham United            | English Premier League            | 1.574 | 1.482 | 0.942 | 1.185
  77 | Braga                      | Portuguese Liga                   | 1.568 | 1.447 | 0.923 | 1.047
  78 | Brighton & Hove Albion     | English Premier League            | 1.540 | 1.352 | 0.878 | 1.223
  79 | Flamengo                   | Brazilian Serie A                 | 1.526 | 1.245 | 0.816 | 1.023
  80 | CSKA Moscow                | Russian Premier League            | 1.505 | 1.188 | 0.789 | 1.134
  81 | Everton                    | English Premier League            | 1.505 | 1.446 | 0.961 | 1.223
  82 | River Plate                | Argentine Superliga               | 1.487 | 1.270 | 0.854 | 1.014
  83 | SC Freiburg                | German Bundesliga                 | 1.482 | 1.460 | 0.985 | 1.266
  84 | Racing Club                | Argentine Superliga               | 1.481 | 1.295 | 0.875 | 0.986
  85 | New York Red Bulls         | Major League Soccer               | 1.471 | 1.308 | 0.889 | 0.993
