Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,,Sat,2021-06-26,16:30,Sporting KC,,,,Los Angeles FC,,Children's Mercy Park,,Head-to-Head,
2021,,,Sat,2021-06-26,19:00,Toronto FC,,,,FC Cincinnati,,,,Head-to-Head,
2021,,,Sat,2021-06-26,18:00,Real Salt Lake,,,,Houston Dynamo,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-06-26,19:00,Chicago Fire,,,,Philadelphia,,Soldier Field,,Head-to-Head,
2021,,,Sat,2021-06-26,19:30,Nashville,,,,CF Montréal,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-06-26,18:00,Seattle,,,,Vancouver,,CenturyLink Field,,Head-to-Head,
2021,,,Sat,2021-06-26,19:00,San Jose,,,,LA Galaxy,,Stanford Stadium,,Head-to-Head,
2021,,,Sat,2021-06-26,19:30,Portland Timbers,,,,Minnesota Utd,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-06-27,15:30,Atlanta Utd,,,,NY Red Bulls,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sun,2021-06-27,18:00,NYCFC,,,,D.C. United,,Red Bull Arena,,Head-to-Head,
2021,,,Sun,2021-06-27,19:00,Austin FC,,,,Columbus Crew,,Q2 Stadium,,Head-to-Head,
2021,,,Sun,2021-06-27,20:00,FC Dallas,,,,New England,,Toyota Stadium,,Head-to-Head,
2021,,,Fri,2021-07-02,,Austin FC,,,,Portland Timbers,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-07-03,17:00,Columbus Crew,,,,New England,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-07-03,17:30,D.C. United,,,,Toronto FC,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-07-03,19:30,CF Montréal,,,,Inter Miami,,,,Head-to-Head,
2021,,,Sat,2021-07-03,19:30,Orlando City,,,,NY Red Bulls,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-07-03,19:00,Chicago Fire,,,,Atlanta Utd,,Soldier Field,,Head-to-Head,
2021,,,Sat,2021-07-03,19:00,Minnesota Utd,,,,San Jose,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-07-03,19:00,Nashville,,,,Philadelphia,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-07-03,19:30,Houston Dynamo,,,,FC Cincinnati,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-07-03,19:00,Real Salt Lake,,,,Los Angeles FC,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sun,2021-07-04,19:30,FC Dallas,,,,Vancouver,,Toyota Stadium,,Head-to-Head,
2021,,,Sun,2021-07-04,19:00,Colorado Rapids,,,,Seattle,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sun,2021-07-04,19:30,LA Galaxy,,,,Sporting KC,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Wed,2021-07-07,19:00,New England,,,,Toronto FC,,Gillette Stadium,,Head-to-Head,
2021,,,Wed,2021-07-07,19:30,CF Montréal,,,,NYCFC,,,,Head-to-Head,
2021,,,Wed,2021-07-07,19:30,FC Cincinnati,,,,Columbus Crew,,West End Stadium,,Head-to-Head,
2021,,,Thu,2021-07-08,,NY Red Bulls,,,,Philadelphia,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-07-07,19:00,Chicago Fire,,,,Orlando City,,Soldier Field,,Head-to-Head,
2021,,,Wed,2021-07-07,18:00,Seattle,,,,Houston Dynamo,,CenturyLink Field,,Head-to-Head,
2021,,,Wed,2021-07-07,19:00,Colorado Rapids,,,,Minnesota Utd,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Wed,2021-07-07,20:00,Austin FC,,,,Los Angeles FC,,Q2 Stadium,,Head-to-Head,
2021,,,Wed,2021-07-07,19:00,Vancouver,,,,Real Salt Lake,,,,Head-to-Head,
2021,,,Wed,2021-07-07,19:30,LA Galaxy,,,,FC Dallas,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Thu,2021-07-08,19:30,Nashville,,,,Atlanta Utd,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-07-17,17:00,Atlanta Utd,,,,New England,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sat,2021-07-17,19:00,NY Red Bulls,,,,Inter Miami,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Philadelphia,,,,D.C. United,,Subaru Park,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Columbus Crew,,,,NYCFC,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,CF Montréal,,,,FC Cincinnati,,,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Toronto FC,,,,Orlando City,,,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Nashville,,,,Chicago Fire,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-07-17,19:00,Colorado Rapids,,,,San Jose,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-07-17,19:00,Vancouver,,,,LA Galaxy,,,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Los Angeles FC,,,,Real Salt Lake,,Banc of California Stadium,,Head-to-Head,
2021,,,Sat,2021-07-17,19:30,Portland Timbers,,,,FC Dallas,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-07-18,15:00,Minnesota Utd,,,,Seattle,,Allianz Field,,Head-to-Head,
2021,,,Wed,2021-07-21,,Inter Miami,,,,New England,,Lockhart Stadium,,Head-to-Head,
2021,,,Wed,2021-07-21,19:00,FC Cincinnati,,,,Atlanta Utd,,West End Stadium,,Head-to-Head,
2021,,,Wed,2021-07-21,19:30,Toronto FC,,,,NY Red Bulls,,,,Head-to-Head,
2021,,,Wed,2021-07-21,19:30,Columbus Crew,,,,Nashville,,Ohio Stadium,,Head-to-Head,
2021,,,Thu,2021-07-22,,NYCFC,,,,CF Montréal,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-07-21,19:00,Chicago Fire,,,,D.C. United,,Soldier Field,,Head-to-Head,
2021,,,Wed,2021-07-21,19:30,Sporting KC,,,,San Jose,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-07-21,19:00,Colorado Rapids,,,,FC Dallas,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Wed,2021-07-21,19:00,Vancouver,,,,Houston Dynamo,,,,Head-to-Head,
2021,,,Wed,2021-07-21,20:00,Real Salt Lake,,,,LA Galaxy,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Wed,2021-07-21,19:30,Portland Timbers,,,,Los Angeles FC,,Providence Park,,Head-to-Head,
2021,,,Thu,2021-07-22,19:30,Orlando City,,,,Philadelphia,,Exploria Stadium,,Head-to-Head,
2021,,,Thu,2021-07-22,20:30,Austin FC,,,,Seattle,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,15:30,Atlanta Utd,,,,Columbus Crew,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sun,2021-07-25,,Inter Miami,,,,Philadelphia,,Lockhart Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,19:00,Chicago Fire,,,,Toronto FC,,Soldier Field,,Head-to-Head,
2021,,,Sat,2021-07-24,19:00,Minnesota Utd,,,,Portland Timbers,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-07-24,19:30,FC Dallas,,,,LA Galaxy,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,19:30,Nashville,,,,FC Cincinnati,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,19:00,San Jose,,,,Houston Dynamo,,Avaya Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,20:00,Real Salt Lake,,,,Colorado Rapids,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-07-24,19:30,Los Angeles FC,,,,Vancouver,,Banc of California Stadium,,Head-to-Head,
2021,,,Sun,2021-07-25,18:00,NYCFC,,,,Orlando City,,Yankee Stadium,,Head-to-Head,
2021,,,Sun,2021-07-25,18:00,New England,,,,CF Montréal,,Gillette Stadium,,Head-to-Head,
2021,,,Sun,2021-07-25,20:00,D.C. United,,,,NY Red Bulls,,Audi Field,,Head-to-Head,
2021,,,Sun,2021-07-25,18:00,Seattle,,,,Sporting KC,,CenturyLink Field,,Head-to-Head,
2021,,,Wed,2021-07-28,19:00,Vancouver,,,,Austin FC,,,,Head-to-Head,
2021,,,Wed,2021-07-28,19:30,Los Angeles FC,,,,Minnesota Utd,,Banc of California Stadium,,Head-to-Head,
2021,,,Fri,2021-07-30,19:30,NYCFC,,,,Columbus Crew,,Yankee Stadium,,Head-to-Head,
2021,,,Sat,2021-07-31,,Inter Miami,,,,CF Montréal,,Lockhart Stadium,,Head-to-Head,
2021,,,Fri,2021-07-30,20:00,Orlando City,,,,Atlanta Utd,,Exploria Stadium,,Head-to-Head,
2021,,,Fri,2021-07-30,19:00,LA Galaxy,,,,Portland Timbers,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sat,2021-07-31,18:00,NY Red Bulls,,,,New England,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-07-31,19:30,FC Cincinnati,,,,D.C. United,,West End Stadium,,Head-to-Head,
2021,,,Sun,2021-08-01,,Seattle,,,,San Jose,,CenturyLink Field,,Head-to-Head,
2021,,,Sat,2021-07-31,19:30,Sporting KC,,,,FC Dallas,,Children's Mercy Park,,Head-to-Head,
2021,,,Sat,2021-07-31,19:30,Houston Dynamo,,,,Real Salt Lake,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-07-31,20:00,Austin FC,,,,Colorado Rapids,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-07-31,19:00,Vancouver,,,,Minnesota Utd,,,,Head-to-Head,
