369181,384,C4122E,Crystal Palace,381,00a94f,Norwich City
369182,382,5CBFEB,Manchester City,384,C4122E,Crystal Palace
369183,362,7A003C,Aston Villa,384,C4122E,Crystal Palace
369184,384,C4122E,Crystal Palace,361,5CBFEB,Newcastle United
369185,363,034694,Chelsea,384,C4122E,Crystal Palace
369186,384,C4122E,Crystal Palace,347,000099,Cardiff City
369187,384,C4122E,Crystal Palace,371,60223B,West Ham United
369188,381,00a94f,Norwich City,384,C4122E,Crystal Palace
369189,306,F5A12D,Hull City,384,C4122E,Crystal Palace
369190,384,C4122E,Crystal Palace,368,274488,Everton
369191,383,091453,West Bromwich Albion,384,C4122E,Crystal Palace
369192,384,C4122E,Crystal Palace,359,ffff00,Arsenal
369193,384,C4122E,Crystal Palace,370,1a1a1a,Fulham
369194,364,D00027,Liverpool,384,034694,Crystal Palace
369195,376,ED1A3B,Southampton,384,034694,Crystal Palace
369196,384,C4122E,Crystal Palace,318,000000,Swansea City
369197,360,DA020E,Manchester United,384,034694,Crystal Palace
369198,384,C4122E,Crystal Palace,366,41a317,Sunderland
369199,336,E03A3E,Stoke City,384,034694,Crystal Palace
369200,384,C4122E,Crystal Palace,367,000033,Tottenham Hotspur
374056,363,034694,Chelsea,110,181A21,Internazionale
374057,111,181A21,Juventus,368,274488,Everton
374780,2720,0093EC,Malmo FF,318,000000,Swansea City
375653,132,C8142F,Bayern Munich,363,034694,Chelsea
376031,318,000000,Swansea City,2720,0093EC,Malmo FF
377888,103,C8142F,AC Milan,363,034694,Chelsea
377890,368,274488,Everton,86,1a1a1a,Real Madrid
377932,86,1a1a1a,Real Madrid,363,034694,Chelsea
377934,368,274488,Everton,94,1a1a1a,Valencia
378256,359,EF0107,Arsenal,436,ffff00,Fenerbahce
378272,318,000000,Swansea City,12603,C60000,Petrolul Ploiesti
378292,498,C8142F,Dinamo Tbilisi,367,000033,Tottenham Hotspur
378303,12603,000000,Petrolul Ploiesti,318,00ff33,Swansea City
378323,367,000033,Tottenham Hotspur,498,000099,Dinamo Tbilisi
378338,364,D00027,Liverpool,340,1a1a1a,Notts County
378339,278,C8142F,Morecambe,361,5CBFEB,Newcastle United
378345,436,ffff00,Fenerbahce,359,EF0107,Arsenal
379025,383,091453,West Bromwich Albion,635,FF6600,Newport County
379402,397,C8142F,Barnsley,376,00a94f,Southampton
379403,333,C8142F,Bristol City,384,034694,Crystal Palace
379405,2567,F7AA25,Burton Albion,370,1a1a1a,Fulham
379410,309,C8142F,Leyton Orient,306,F5A12D,Hull City
379411,381,00a94f,Norwich City,354,000099,Bury
379413,366,EB172B,Sunderland,390,1a1a1a,Milton Keynes Dons
379415,371,60223B,West Ham United,320,C8142F,Cheltenham Town
379417,2731,C8142F,Accrington Stanley,347,000099,Cardiff City
379418,362,7A003C,Aston Villa,402,C8142F,Rotherham United
379419,368,274488,Everton,285,C8142F,Stevenage
379421,336,E03A3E,Stoke City,401,C60000,Walsall
380696,114,0093EC,Napoli,359,EF0107,Arsenal
380701,363,034694,Chelsea,484,C8142F,Steaua Bucuresti
380707,132,C8142F,Bayern Munich,382,5CBFEB,Manchester City
380710,360,DA020E,Manchester United,493,e25a06,Shakhtar Donetsk
380714,131,C60000,Bayer Leverkusen,360,1a1a1a,Manchester United
380717,382,5CBFEB,Manchester City,11706,C60000,Viktoria Plzen
380721,989,000099,FC Basel,363,EF0107,Chelsea
380723,359,EF0107,Arsenal,176,6AAEC3,Marseille
380728,124,000000,Borussia Dortmund,359,EF0107,Arsenal
380732,363,034694,Chelsea,133,0000dd,Schalke 04
380739,382,5CBFEB,Manchester City,1963,000099,CSKA Moscow
380741,89,000099,Real Sociedad,360,DA020E,Manchester United
380747,360,DA020E,Manchester United,89,000099,Real Sociedad
380750,1963,000099,CSKA Moscow,382,5CBFEB,Manchester City
380755,359,EF0107,Arsenal,124,000000,Borussia Dortmund
380756,133,0000dd,Schalke 04,363,034694,Chelsea
380759,382,5CBFEB,Manchester City,132,C8142F,Bayern Munich
380763,493,e25a06,Shakhtar Donetsk,360,DA020E,Manchester United
380770,484,C8142F,Steaua Bucuresti,363,034694,Chelsea
380772,359,EF0107,Arsenal,114,0093EC,Napoli
380776,176,6AAEC3,Marseille,359,EF0107,Arsenal
380777,363,034694,Chelsea,989,C8142F,FC Basel
380784,360,DA020E,Manchester United,131,1a1a1a,Bayer Leverkusen
380787,11706,C60000,Viktoria Plzen,382,5CBFEB,Manchester City
380821,360,DA020E,Manchester United,364,1a1a1a,Liverpool
380822,341,C8142F,Swindon Town,363,034694,Chelsea
380825,94,1a1a1a,Valencia,318,00ff33,Swansea City
380846,367,000033,Tottenham Hotspur,5270,000099,Tromso
380850,318,000000,Swansea City,557,000099,St Gallen
380870,593,ffff00,Anzhi Makhachkala,367,000033,Tottenham Hotspur
380873,318,000000,Swansea City,7425,268c5c,Kuban Krasnodar
380894,614,C8142F,Sheriff Tiraspol,367,000033,Tottenham Hotspur
380897,7425,268c5c,Kuban Krasnodar,318,000000,Swansea City
380918,367,000033,Tottenham Hotspur,614,000099,Sheriff Tiraspol
380921,318,000000,Swansea City,94,C8142F,Valencia
380942,5270,C8142F,Tromso,367,000033,Tottenham Hotspur
380946,557,C8142F,St Gallen,318,000000,Swansea City
380966,367,000033,Tottenham Hotspur,593,ffff00,Anzhi Makhachkala
381013,376,ED1A3B,Southampton,333,1a1a1a,Bristol City
381035,395,ffff00,Watford,381,00a94f,Norwich City
381161,383,091453,West Bromwich Albion,359,EF0107,Arsenal
381162,362,7A003C,Aston Villa,367,000033,Tottenham Hotspur
381164,370,1a1a1a,Fulham,368,274488,Everton
381165,306,F5A12D,Hull City,335,0271B9,Huddersfield Town
381167,382,5CBFEB,Manchester City,350,3366CC,Wigan Athletic
381168,371,60223B,West Ham United,347,000099,Cardiff City
381169,366,EB172B,Sunderland,342,101087,Peterborough United
381170,392,000099,Birmingham City,318,000000,Swansea City
381171,361,5CBFEB,Newcastle United,357,000099,Leeds United
381172,345,2F2F86,Tranmere Rovers,336,E03A3E,Stoke City
381798,359,EF0107,Arsenal,363,034694,Chelsea
381799,361,5CBFEB,Newcastle United,382,1a1a1a,Manchester City
381889,392,000099,Birmingham City,336,E03A3E,Stoke City
382061,379,53162F,Burnley,371,0093EC,West Ham United
382062,375,0053A0,Leicester City,370,1a1a1a,Fulham
382063,360,DA020E,Manchester United,381,00a94f,Norwich City
382065,367,000033,Tottenham Hotspur,306,F5A12D,Hull City
382143,366,EB172B,Sunderland,376,00a94f,Southampton
382597,336,E03A3E,Stoke City,360,1a1a1a,Manchester United
382629,367,000033,Tottenham Hotspur,371,60223B,West Ham United
