team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Netherlands,0.8,England,1.3,0.367,0.633,0.240,0.472,0.288,0.051,0.086,0.076,0.076
Netherlands,0.6,France,1.7,0.205,0.795,0.121,0.643,0.236,0.025,0.093,0.059,0.059
Netherlands,0.6,Germany,2.2,0.131,0.869,0.080,0.750,0.170,0.015,0.082,0.036,0.036
Netherlands,0.6,Japan,1.5,0.268,0.732,0.164,0.570,0.266,0.035,0.093,0.069,0.069
Netherlands,1.1,Korea Republic,0.8,0.590,0.410,0.419,0.264,0.317,0.082,0.057,0.089,0.089
Netherlands,1.0,Norway,1.1,0.486,0.514,0.338,0.361,0.301,0.068,0.072,0.080,0.080
Netherlands,0.9,Sweden,1.4,0.348,0.652,0.233,0.499,0.267,0.048,0.086,0.067,0.067
Netherlands,1.7,Switzerland,1.1,0.648,0.352,0.509,0.248,0.243,0.083,0.049,0.055,0.055
Netherlands,0.5,USA,2.1,0.131,0.869,0.077,0.747,0.176,0.015,0.084,0.039,0.039
Norway,1.2,Australia,1.3,0.473,0.527,0.344,0.392,0.264,0.066,0.072,0.063,0.063
Norway,0.6,Brazil,1.1,0.358,0.642,0.213,0.457,0.330,0.048,0.089,0.097,0.097
Norway,1.5,Cameroon,0.4,0.813,0.187,0.645,0.095,0.260,0.097,0.021,0.071,0.071
Norway,0.6,Canada,1.2,0.322,0.678,0.191,0.497,0.312,0.042,0.092,0.089,0.089
Norway,0.9,China PR,0.6,0.620,0.380,0.424,0.220,0.356,0.087,0.051,0.109,0.109
Norway,1.2,Colombia,0.6,0.694,0.306,0.513,0.178,0.309,0.093,0.040,0.088,0.088
Norway,0.8,England,1.2,0.380,0.620,0.250,0.457,0.293,0.053,0.084,0.078,0.078
Norway,0.6,France,1.6,0.216,0.784,0.127,0.629,0.244,0.027,0.093,0.062,0.062
Norway,0.6,Germany,2.1,0.141,0.859,0.086,0.736,0.178,0.016,0.084,0.039,0.039
Norway,0.7,Japan,1.4,0.280,0.720,0.172,0.556,0.273,0.037,0.092,0.072,0.072
Norway,1.1,Korea Republic,0.8,0.602,0.398,0.429,0.254,0.317,0.083,0.055,0.089,0.089
Norway,1.1,Netherlands,1.0,0.514,0.486,0.361,0.338,0.301,0.072,0.068,0.080,0.080
Norway,0.9,Sweden,1.4,0.362,0.638,0.243,0.484,0.272,0.050,0.085,0.069,0.069
Norway,1.7,Switzerland,1.1,0.662,0.338,0.522,0.237,0.241,0.084,0.047,0.055,0.055
Norway,0.5,USA,2.0,0.140,0.860,0.083,0.733,0.184,0.016,0.085,0.041,0.041
Sweden,1.7,Australia,1.2,0.627,0.373,0.492,0.267,0.241,0.081,0.052,0.054,0.054
Sweden,0.8,Brazil,0.9,0.472,0.528,0.311,0.359,0.330,0.066,0.074,0.095,0.095
Sweden,2.0,Cameroon,0.3,0.896,0.104,0.771,0.053,0.176,0.084,0.010,0.041,0.041
Sweden,0.8,Canada,1.0,0.435,0.565,0.283,0.396,0.321,0.061,0.079,0.091,0.091
Sweden,1.3,China PR,0.5,0.733,0.267,0.553,0.150,0.297,0.096,0.033,0.084,0.084
Sweden,1.6,Colombia,0.5,0.804,0.196,0.650,0.112,0.239,0.094,0.024,0.061,0.061
Sweden,1.1,England,1.1,0.513,0.487,0.367,0.345,0.289,0.071,0.068,0.075,0.075
Sweden,0.8,France,1.4,0.316,0.684,0.203,0.523,0.274,0.043,0.089,0.071,0.071
Sweden,0.8,Germany,1.9,0.227,0.773,0.147,0.634,0.218,0.030,0.089,0.050,0.050
Sweden,0.9,Japan,1.2,0.395,0.605,0.264,0.446,0.290,0.055,0.083,0.076,0.076
Sweden,1.5,Korea Republic,0.7,0.727,0.273,0.567,0.169,0.264,0.092,0.036,0.068,0.068
Sweden,1.4,Netherlands,0.9,0.652,0.348,0.499,0.233,0.267,0.086,0.048,0.067,0.067
Sweden,1.4,Norway,0.9,0.638,0.362,0.484,0.243,0.272,0.085,0.050,0.069,0.069
Sweden,2.3,Switzerland,0.9,0.801,0.199,0.681,0.137,0.182,0.083,0.026,0.036,0.036
Sweden,0.7,USA,1.8,0.223,0.777,0.141,0.635,0.224,0.029,0.090,0.053,0.053
Switzerland,1.3,Australia,2.2,0.293,0.707,0.214,0.585,0.201,0.040,0.082,0.040,0.040
Switzerland,0.6,Brazil,1.7,0.213,0.787,0.132,0.641,0.228,0.027,0.091,0.055,0.055
Switzerland,1.5,Cameroon,0.6,0.744,0.256,0.583,0.156,0.261,0.093,0.033,0.067,0.067
Switzerland,0.6,Canada,1.9,0.180,0.820,0.111,0.684,0.205,0.022,0.089,0.047,0.047
Switzerland,1.0,China PR,1.0,0.500,0.500,0.342,0.341,0.317,0.070,0.070,0.088,0.088
Switzerland,1.2,Colombia,0.9,0.582,0.418,0.426,0.284,0.290,0.080,0.058,0.076,0.076
Switzerland,0.9,England,2.0,0.221,0.779,0.149,0.648,0.203,0.029,0.087,0.044,0.044
Switzerland,0.6,France,2.6,0.094,0.906,0.059,0.811,0.130,0.010,0.071,0.024,0.024
Switzerland,0.6,Germany,3.5,0.046,0.954,0.030,0.895,0.074,0.004,0.048,0.011,0.011
Switzerland,0.7,Japan,2.3,0.140,0.860,0.090,0.746,0.164,0.017,0.081,0.033,0.033
Switzerland,1.1,Korea Republic,1.3,0.462,0.538,0.328,0.394,0.278,0.064,0.074,0.070,0.070
Switzerland,1.1,Netherlands,1.7,0.352,0.648,0.248,0.509,0.243,0.049,0.083,0.055,0.055
Switzerland,1.1,Norway,1.7,0.338,0.662,0.237,0.522,0.241,0.047,0.084,0.055,0.055
Switzerland,0.9,Sweden,2.3,0.199,0.801,0.137,0.681,0.182,0.026,0.083,0.036,0.036
Switzerland,0.5,USA,3.3,0.046,0.954,0.030,0.892,0.078,0.005,0.050,0.012,0.012
USA,2.5,Australia,0.7,0.873,0.127,0.765,0.082,0.152,0.078,0.015,0.030,0.030
USA,1.2,Brazil,0.5,0.718,0.282,0.537,0.161,0.303,0.095,0.036,0.086,0.086
USA,2.9,Cameroon,0.2,0.973,0.027,0.912,0.013,0.075,0.047,0.002,0.013,0.013
USA,1.2,Canada,0.6,0.689,0.311,0.509,0.182,0.309,0.093,0.041,0.088,0.088
USA,1.8,China PR,0.3,0.892,0.108,0.759,0.051,0.190,0.087,0.010,0.046,0.046
USA,2.4,Colombia,0.3,0.936,0.064,0.840,0.032,0.127,0.069,0.006,0.026,0.026
USA,1.7,England,0.6,0.775,0.225,0.624,0.137,0.239,0.092,0.029,0.059,0.059
USA,1.1,France,0.8,0.594,0.406,0.425,0.263,0.312,0.082,0.056,0.087,0.087
USA,1.1,Germany,1.1,0.514,0.486,0.366,0.341,0.293,0.072,0.068,0.077,0.077
USA,1.3,Japan,0.7,0.672,0.328,0.504,0.206,0.291,0.090,0.044,0.078,0.078
USA,2.2,Korea Republic,0.4,0.902,0.098,0.787,0.053,0.159,0.080,0.010,0.035,0.035
USA,2.1,Netherlands,0.5,0.869,0.131,0.747,0.077,0.176,0.084,0.015,0.039,0.039
USA,2.0,Norway,0.5,0.860,0.140,0.733,0.083,0.184,0.085,0.016,0.041,0.041
USA,1.8,Sweden,0.7,0.777,0.223,0.635,0.141,0.224,0.090,0.029,0.053,0.053
USA,3.3,Switzerland,0.5,0.954,0.046,0.892,0.030,0.078,0.050,0.005,0.012,0.012
