Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
16,Fri,2019-12-06,21:00 (15:00),Villarreal,1.6,0–0,1.5,Atlético Madrid,17964,Estadio de la Cerámica,Alejandro Hernández,Match Report,
16,Sat,2019-12-07,13:00 (07:00),Real Madrid,1.9,2–0,0.3,Espanyol,64125,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
16,Sat,2019-12-07,16:00 (10:00),Granada,2.0,3–0,0.3,Alavés,14773,Estadio Nuevo Los Cármenes,Jesús Gil,Match Report,
16,Sat,2019-12-07,18:30 (12:30),Levante,2.2,2–4,2.6,Valencia,23137,Estadio Ciudad de Valencia,David Medié,Match Report,
16,Sat,2019-12-07,21:00 (15:00),Barcelona,3.4,5–2,1.2,Mallorca,71072,Camp Nou,José Luis Munuera,Match Report,
16,Sun,2019-12-08,12:00 (06:00),Eibar,0.4,0–1,0.9,Getafe,5969,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
16,Sun,2019-12-08,14:00 (08:00),Betis,1.5,3–2,0.9,Athletic Club,46106,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
16,Sun,2019-12-08,16:00 (10:00),Valladolid,0.5,0–0,1.4,Real Sociedad,18654,Estadio Municipal José Zorrilla,Pablo González,Match Report,
16,Sun,2019-12-08,18:30 (12:30),Leganés,0.9,3–2,0.4,Celta Vigo,7115,Estadio Municipal de Butarque,José Sánchez,Match Report,
16,Sun,2019-12-08,21:00 (15:00),Osasuna,0.9,1–1,1.4,Sevilla,15045,Estadio El Sadar,Javier Estrada,Match Report,
17,Fri,2019-12-13,21:00 (15:00),Alavés,1.0,1–1,0.6,Leganés,15567,Estadio de Mendizorroza,César Soto,Match Report,
17,Sat,2019-12-14,13:00 (07:00),Granada,0.8,1–2,1.1,Levante,14127,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
17,Sat,2019-12-14,16:00 (10:00),Real Sociedad,2.5,2–2,2.0,Barcelona,36639,Estadio Municipal de Anoeta,Alberola Rojas,Match Report,
17,Sat,2019-12-14,18:30 (12:30),Athletic Club,0.9,0–0,0.2,Eibar,43203,San Mamés,Mario Melero,Match Report,
17,Sat,2019-12-14,21:00 (15:00),Atlético Madrid,1.9,2–0,0.9,Osasuna,46033,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
17,Sun,2019-12-15,12:00 (06:00),Getafe,0.9,2–0,0.4,Valladolid,10816,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
17,Sun,2019-12-15,14:00 (08:00),Celta Vigo,2.5,2–2,1.7,Mallorca,13247,Estadio de Balaídos,Ricardo de Burgos,Match Report,
17,Sun,2019-12-15,16:00 (10:00),Espanyol,1.2,2–2,0.8,Betis,22248,RCDE Stadium,Guillermo Cuadra,Match Report,
17,Sun,2019-12-15,18:30 (12:30),Sevilla,1.8,1–2,1.7,Villarreal,36521,Estadio Ramón Sánchez Pizjuán,Adrián Cordero,Match Report,
17,Sun,2019-12-15,21:00 (15:00),Valencia,1.6,1–1,1.3,Real Madrid,44230,Estadio de Mestalla,José Sánchez,Match Report,
10,Wed,2019-12-18,20:00 (14:00),Barcelona,0.9,0–0,0.9,Real Madrid,93426,Camp Nou,Alejandro Hernández,Match Report,
18,Fri,2019-12-20,21:00 (15:00),Eibar,2.6,3–0,1.4,Granada,5341,Estadio Municipal de Ipurúa,Pablo González,Match Report,
18,Sat,2019-12-21,13:00 (07:00),Mallorca,1.0,0–2,1.5,Sevilla,14321,Iberostar Estadi,Jesús Gil,Match Report,
18,Sat,2019-12-21,16:00 (10:00),Barcelona,1.2,4–1,0.6,Alavés,63054,Camp Nou,Mario Melero,Match Report,
18,Sat,2019-12-21,18:30 (12:30),Villarreal,1.8,1–0,0.5,Getafe,14526,Estadio de la Cerámica,Santiago Jaime,Match Report,
18,Sat,2019-12-21,21:00 (15:00),Valladolid,1.1,1–1,1.0,Valencia,16295,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
18,Sun,2019-12-22,12:00 (06:00),Leganés,0.9,2–0,0.6,Espanyol,10183,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
18,Sun,2019-12-22,14:00 (08:00),Osasuna,1.8,3–4,2.2,Real Sociedad,16197,Estadio El Sadar,David Medié,Match Report,
18,Sun,2019-12-22,16:00 (10:00),Betis,0.7,1–2,1.6,Atlético Madrid,52017,Estadio Benito Villamarín,Javier Estrada,Match Report,
18,Sun,2019-12-22,18:30 (12:30),Levante,2.5,3–1,0.9,Celta Vigo,18653,Estadio Ciudad de Valencia,Eduardo Prieto,Match Report,
